"cityName","hasmunicipality"
"AGERSKOV",510
"TØRRING",766
"HOBRO",846
"RØNNE",400
"RøNNE",400
"RUDS VEDBY",326
"MØRKE",706
"MøRKE",706
"HOLSTEBRO",661
"STORE HEDDINGE",336
"LØGUMKLOSTER",550
"LøGUMKLOSTER",550
"VEMMELEV",330
"SKAGEN",813
"HÅRLEV",336
"HåRLEV",336
"LØSNING",766
"LøSNING",766
"SPØTTRUP",779
"SPøTTRUP",779
"SKÆVINGE",219
"SKæVINGE",219
"TRUSTRUP",707
"KALUNDBORG",326
"BEDSTED THY",787
"SNEDSTED",787
"FRØSTRUP",787
"VESLøS",787
"SKæRBæK",550
"STENLILLE",340
"AUGUSTENBORG",540
"ØSTER ASSELS",773
"BROAGER",540
"REDSTED M",773
"KOLIND",706
"GRENAA",707
"ESKEBJERG",326
"ODENSE SV",461
"BREDSTEN",630
"ODDER",727
"SKÆRBÆK",550
"SKÆLSKØR",330
"DRONNINGLUND",810
"GISLINGE",316
"HVALSØ",350
"HVALSø",350
"SPENTRUP",730
"NYKØBING F",376
"NYKøBING F",376
"JERSLEV SJÆLLAND",326
"JERSLEV SJæLLAND",326
"MØLDRUP",791
"MøLDRUP",791
"BÆKMARKSBRO",665
"RØNNEDE",320
"RøNNEDE",320
"RØDDING",575
"RøDDING",575
"NøRAGER",840
"NØRAGER",840
"GRINDSTED",530
"LYNGE",201
"VIBY SJÆLLAND",265
"VIBY SJæLLAND",265
"JYSTRUP MIDTSJ",329
"VAMDRUP",621
"STENLØSE",240
"HADERSLEV",510
"TOMMERUP",420
"SAKSKØBING",376
"SAKSKøBING",376
"HEJNSVIG",530
"VILS",773
"SØNDERBORG",540
"SøNDERBORG",540
"VIDEBÆK",760
"TUREBY",320
"TRANEKÆR",482
"TRANEKæR",482
"NIMTOFTE",706
"KOLDING",621
"HOLBÆK",316
"BROVST",849
"GJERLEV J",730
"RY",746
"HADSTEN",710
"RIBE",561
"HADSUND",846
"ODENSE NØ",461
"SÆBY",813
"HEMMET",760
"GADBJERG",630
"EGTVED",630
"FJERRITSLEV",849
"KØGE",336
"KøGE",336
"HJØRRING",860
"HJøRRING",860
"ÅRRE",573
"SLAGELSE",330
"ODENSE SØ",461
"ANSAGER",573
"VEKSØ SJÆLLAND",240
"VEKSø SJæLLAND",240
"TISVILDELEJE",270
"JYDERUP",316
"ULSTRUP",710
"VESLØS",787
"BRØRUP",575
"BRøRUP",575
"ASSENS",420
"STAKROGE",657
"ØRBÆK",450
"ØRBæK",450
"HOLSTED",575
"FARUM",240
"KASTRUP",185
"STORVORDE",851
"HASLEV",320
"SLANGERUP",240
"GISLEV",430
"LUNDERSKOV",621
"BRØNDERSLEV",810
"BRøNDERSLEV",810
"VÆRLØSE",190
"VæRLøSE",190
"HINNERUP",710
"SINDAL",860
"VEJEN",575
"FRØRUP",450
"FRøRUP",450
"BJÆVERSKOV",259
"BJæVERSKOV",259
"GUDBJERG SYDFYN",479
"ESBJERG Ø",561
"NØRRE ASMINDRUP",306
"NøRRE ASMINDRUP",306
"EBBERUP",420
"RØMØ",550
"RøMø",550
"SKIBBY",250
"SKJERN",760
"STRUER",671
"LEM ST",760
"MØRKØV",316
"GLESBORG",707
"MESINGE",440
"MESINGE FYN",440
"NYSTED",376
"AULUM",657
"AVLUM",657
"SULDRUP",840
"ODENSE Sø",461
"GEDSTED",820
"HERNING",657
"HAARBY",420
"NORDBORG",540
"RØDVIG STEVNS",336
"RøDVIG STEVNS",336
"HAVDRUP",269
"OUTRUP",573
"OVTRUP",573
"ARDEN",846
"GILLELEJE",270
"SVENSTRUP J",851
"VONGE",630
"HøJSLEV",779
"HØJSLEV",779
"GØRDING",561
"GøRDING",561
"BROBY",430
"LINTRUP",575
"OTTERUP",480
"GLEJBJERG",575
"HJORTSHØJ",751
"HJORTSHøJ",751
"FAABORG",430
"BRAMMING",561
"SVENDBORG",479
"KIBÆK",657
"KIBæK",657
"VARDE",573
"TARM",760
"FREDENSBORG",210
"SAMSØ",741
"SAMSø",741
"SANDVED",370
"MARIAGER",846
"AABENRAA",580
"RøNDE",706
"RØNDE",706
"SøNDER OMME",530
"HOVBORG",575
"SKøDSTRUP",751
"HUMBLE",482
"AAKIRKEBY",400
"BØRKOP",630
"BøRKOP",630
"ØSTBIRK",615
"AALESTRUP",820
"KERTEMINDE",440
"HORSLUNDE",360
"BYLDERUP-BOV",580
"JANDERUP VESTJ",573
"ØRUM DJURS",707
"FREDERIKSHAVN",860
"ØSTERMARIE",400
"NØRRE SNEDE",756
"NøRRE SNEDE",756
"TOFTLUND",550
"GLAMSBJERG",420
"EBELTOFT",706
"STORE MERLØSE",316
"STORE MERLøSE",316
"SUNDS",657
"BEVTOFT",510
"GREDSTEDBRO",561
"TØLLØSE",316
"TøLLøSE",316
"STUBBEKøBING",376
"STUBBEKØBING",376
"VRÅ",860
"VRå",860
"ULDUM",766
"GULDBORG",376
"VORDINGBORG",390
"NØRRE ALSLEV",376
"ULLERSLEV",450
"ØRSTED",707
"SABRO",710
"LANGESKOV",440
"DALMOSE",330
"HERLUFMAGLE",370
"AARS",820
"BRÆDSTRUP",615
"BRæDSTRUP",615
"TISTRUP",573
"BREDEBRO",550
"LUNDBY",370
"HEDENSTED",766
"KVÆRNDRUP",430
"KVæRNDRUP",430
"JERSLEV J",810
"TIM",760
"PRÆSTØ",390
"PRæSTø",390
"VISSENBJERG",420
"HAMPEN",740
"GANDRUP",851
"SØRVAD",657
"SøRVAD",657
"NYBORG",450
"VOJENS",510
"SØNDERSØ",480
"CHRISTIANSFELD",621
"LøGSTøR",820
"LØGSTØR",820
"HILLERØD",219
"HIRTSHALS",860
"VIG",306
"FøVLING",575
"FØVLING",575
"SMØRUM",240
"GELSTED",410
"ODENSE NV",461
"VORBASSE",530
"GøRLEV",326
"GØRLEV",326
"SØNDER OMME",530
"FÅRUP",846
"FåRUP",846
"HORBELEV",376
"KIRKE ESKILSTRUP",316
"GALTEN",746
"KLIPPINGE",336
"HAMMEL",710
"VIPPERøD",316
"VIPPERØD",316
"HøNG",326
"HØNG",326
"TINGLEV",580
"CHARLOTTENLUND",157
"PADBORG",580
"GESTEN",575
"JÆGERSPRIS",250
"JæGERSPRIS",250
"JELLING",630
"HØRSHOLM",230
"HøRSHOLM",230
"RYOMGÅRD",706
"RYOMGåRD",706
"BOESLUNDE",330
"SNERTINGE",326
"SKøRPING",840
"SKØRPING",840
"GRæSTED",270
"GRÆSTED",270
"NØRRE AABY",410
"NøRRE AABY",410
"NYKøBING MORS",773
"EJSTRUPHOLM",756
"STOUBY",766
"ESKILSTRUP",376
"ÆRØSKØBING",492
"ÆRøSKøBING",492
"FEJØ",360
"FEJø",360
"STOHOLM JYLL.",791
"KVISTGÅRD",217
"KVISTGåRD",217
"HØJER",550
"HøJER",550
"TYLSTRUP",810
"TOREBY L",376
"GADSTRUP",265
"BRENDERUP FYN",410
"SKØDSTRUP",751
"TAPPERNØJE",370
"TAPPERNøJE",370
"HØRNING",746
"HøRNING",746
"LØKKEN",860
"LøKKEN",860
"HUNDESTED",260
"VILDBJERG",657
"FRøSTRUP",787
"BAGENKOP",482
"TIKØB",217
"TIKøB",217
"VODSKOV",851
"BRANDE",756
"MILLINGE",430
"DANNEMARE",360
"BREDEBO",550
"PANDRUP",849
"JORDRUP",621
"SØBY ÆRØ",492
"SøBY ÆRø",492
"KORSØR",330
"KORSøR",330
"RØDKÆRSBRO",791
"SøNDER FELDING",657
"SØNDER FELDING",657
"KARREBÆKSMINDE",370
"KARREBæKSMINDE",370
"HURUP THY",787
"RASK MØLLE",766
"RASK MøLLE",766
"SVINNINGE",316
"KOKKEDAL",210
"BALLERUP",151
"HARLEV J",751
"HELSINGØR",217
"HELSINGøR",217
"KØBENHAVN Ø",101
"KøBENHAVN Ø",101
"KøBENHAVN K",101
"KØBENHAVN K",101
"KØBENHAVN S",101
"KøBENHAVN S",101
"TILST",751
"MUNDELSTRUP",751
"SKÅRUP FYN",479
"TRIGE",751
"FANø",563
"FANØ",563
"ASAA",810
"STORE FUGLEDE",326
"KETTINGE",376
"VADUM",849
"SKåRUP FYN",479
"DYBVAD",813
"ANS BY",740
"RANDBØL",630
"RANDBøL",630
"GLOSTRUP",161
"NEKSø",400
"NEXØ",400
"TÅRS",860
"TåRS",860
"LILLE SKENSVED",259
"SØNDER STENDERUP",621
"SøNDER STENDERUP",621
"EGÅ",751
"EGå",751
"BILLUND",530
"BLOMMENSLYST",461
"VESTER SKERNINGE",479
"OURE",479
"SJØLUND",621
"SJøLUND",621
"BRANDERUP J",550
"STORKUNDE, KøBENHAVN V",101
"BALLE",707
"KRUSÅ",580
"KRUSå",580
"VESTERBORG",360
"RØDBY",360
"RøDBY",360
"GØRLØSE",219
"GøRLøSE",219
"HORNSLET",706
"BÆKKE",575
"BæKKE",575
"HADERUP",657
"FUGLEBJERG",370
"KLEMENSKER",400
"IKAST",756
"ENGESVANG",756
"BæLUM",840
"BÆLUM",840
"AUNING",707
"SVANEKE",400
"KARLSLUNDE",253
"NEXø",400
"GLUMSØ",370
"GLUMSø",370
"UGERLøSE",316
"UGERLØSE",316
"GUDHJEM",400
"THORSØ",710
"THORSø",710
"HOLMEGAARD",370
"SPORUP",710
"STENDERUP",766
"BORRE",390
"HANSTHOLM",787
"NØRRESUNDBY",851
"NøRRESUNDBY",851
"KALVEHAVE",390
"VÆGGERLØSE",376
"VæGGERLøSE",376
"KONGERSLEV",851
"TERNDRUP",840
"HUNDSLUND",727
"LANGÅ",730
"LANGå",730
"BANDHOLM",360
"ÅLBÆK",813
"ÅLBæK",813
"KLOVBORG",756
"ÅLSGÅRDE",217
"ÅLSGåRDE",217
"AALBORG",851
"BORDING",756
"BOLDERSLEV",580
"SALTUM",849
"HOLTE",230
"HØJBY",306
"HøJBY",306
"HESSELAGER",479
"FREDERIKSVÆRK",260
"FREDERIKSVæRK",260
"SOLRØD STRAND",269
"SOLRøD STRAND",269
"FREDERIKSSUND",219
"AGERBæK",573
"AGERBÆK",573
"MORUD",480
"ÅRSLEV",430
"LISELEJE",260
"DRAGØR",155
"LEMMING",740
"VIBY J",751
"STOKKEMARKE",360
"HOVEDGåRD",615
"HOVEDGÅRD",615
"THYBORØN",665
"THYBORøN",665
"LANGEBÆK",390
"LANGEBæK",390
"RYSLINGE",430
"ÅRHUS V",751
"BJERT",621
"FERRITSLEV FYN",430
"TJÆREBORG",561
"TJæREBORG",561
"LYSTRUP",751
"BRøNSHøJ",101
"BRØNSHØJ",101
"VEDBæK",230
"VEDBÆK",230
"GREVE",253
"SULSTED",851
"GISTRUP",851
"NAKSKOV",360
"ØLSTYKKE",240
"SJæLLANDS ODDE",306
"SJÆLLANDS ODDE",306
"FÅREVEJLE",306
"FåREVEJLE",306
"BORUP",329
"SEJERØ",326
"SEJERø",326
"ASNæS",306
"ASNÆS",306
"DIANALUND",340
"HORNSYLD",766
"DALBY",440
"STENSTRUP",479
"NYKøBING SJ",306
"NYKØBING SJ",306
"ODENSE V",461
"FÅRVANG",740
"FUR",779
"FREDERIKSBERG",147
"SOLBJERG",751
"HERLEV",163
"BARRIT",766
"RANUM",820
"KIRKE SåBY",350
"KIRKE SÅBY",350
"HOLEBY",360
"ØRNHØJ",657
"HASLE",400
"VESTERVIG",787
"ØRNHøJ",657
"HEDEHUSENE",169
"NYKøBING SJ.",306
"ALLERØD",201
"ALLERøD",201
"NØRREBALLE",360
"NøRREBALLE",360
"TORRIG L",360
"BILLUM",573
"ERRINDLEV",360
"HARPELUNDE",360
"STRøBY",336
"STRØBY",336
"SKAMBY",480
"HENNE",573
"RØDOVRE",175
"RøDOVRE",175
"GJERN",740
"GEDVED",615
"MALLING",751
"MERN",390
"AGEDRUP",461
"NøRRE NEBEL",573
"NØRRE NEBEL",573
"HVIDE SANDE",760
"SVEBøLLE",326
"SVEBØLLE",326
"FØLLENSLEV",326
"FøLLENSLEV",326
"SøLLESTED",360
"SØLLESTED",360
"KOLDING, DANMARK",621
"RUDE",330
"MUNKE BJERGBY",330
"VANDEL",630
"VEFLINGE",480
"FJENNESLEV",340
"VEJBY",270
"HOLME-OLSTRUP",370
"HORNBÆK",217
"HJERM",671
"AALBORG ØST",851
"HERFØLGE",259
"HERFøLGE",259
"GUDME",479
"IDESTRUP",376
"VESTBJERG",851
"ODENSE Nø",461
"RISSKOV",751
"ODENSE C",461
"GEDSER",376
"DAUGÅRD",766
"DAUGåRD",766
"HELLERUP",157
"MUNKEBO",440
"AALBORG SV",851
"GRÅSTEN",540
"MARSLEV",440
"ALMIND",621
"MARTOFTE",440
"VEJSTRUP",479
"KLARUP",851
"HEJLS",621
"STRANDBY",813
"ÅRHUS C (POSTBOKS)",751
"VIUF",621
"VEJLE ØST",630
"HUMLEBÆK",210
"HUMLEBæK",210
"VIBORG, DANMARK",740
"BEDER",751
"RYNKEBY",440
"HARBOØRE",665
"HARBOøRE",665
"AALBORG (POSTBOKS)",851
"FAKSE LADEPLADS",320
"MÅRSLET",751
"MåRSLET",751
"HASSELAGER",751
"BRABRAND",751
"LYNGBY",159
"KGS.LYNGBY",159
"ISHØJ",183
"ISHøJ",183
"KØBENHAVN V",101
"AALBORG Ø",851
"TRANBJERG J",751
"HØJBJERG",751
"HøJBJERG",751
"BRøNDBY",153
"HVIDOVRE",167
"SKODSBORG",230
"VIRUM",173
"VALBY",101
"BIRKERøD",230
"BIRKERØD",230
"OKSBØL",573
"OKSBøL",573
"SØBORG",159
"SøBORG",159
"JERUP",813
"BRØNDBY",153
"RØRVIG",306
"RøRVIG",306
"ESPERGÆRDE",217
"ESPERGæRDE",217
"KØBENHAVNS RÅDHUS,",101
"BIRKERøD, DANMARK",201
"MELBY",260
"ÅLBORG ØST",851
"ALBERTSLUND",165
"KØBENHAVN SV",101
"KøBENHAVN SV",101
"FREDERIKSBERG C",147
"ØRBæK,",450
"NYRUP",340
"VIDEBæK DK",760
"LÅSBY",746
"LåSBY",746
"BAGSVæRD",159
"BAGSVÆRD",159
"BOGØ BY",390
"BOGø BY",390
"FARS?",820
"DRONNINGMØLLE",270
"DRONNINGMøLLE",270
"STENSVED",390
"ODENSE M",461
"ODENSE C (POSTBOKS",461
"KøBENHAVN V",101
"TRIGE DK",751
"SNEKKERSTEN",217
"PRæSTø,",390
"AALBORG SØ",851
"AALBORG Sø",851
"NÆRUM",230
"NæRUM",230
"KLAMPENBORG",157
"HELLEBÆK",217
"HELLEBæK",217
"FARUM, DANMARK",190
"AARUP, DANMARK",420
"GRENå",707
"JYLLINGE",265
"MUNKE-BJERGBY",340
"EGERNSUND",540
"ODENSE SØ DK",461
"ÅBYHØJ",751
"ÅBYHøJ",751
"KREDITFORENINGEN D",101
"KØBENHAVN N",101
"KøBENHAVN N",101
"NYKØBING F.",376
"SKELSKøR",330
"KøBENHAVN",101
"AARHUS C",751
"AGUR",101
"KøBENHAVN C",101
"DYSSEGåRD",157
"DYSSEGÅRD",157
"VALLENSBÆK",187
"HINNERUP DK",710
"MøRKøV,",316
"AB WAGENINGEN NL",561
"ESBJERG (POSTBOKS)",561
"ESJBERG",561
"ÅBYBRO",849
"TINGLEV, DANMARK",580
"GENTOFTE",157
"VALLENSBÆK STRAND",187
"VALLENSBæK STRAND",187
"KøBENHAVN NV",101
"KØBENHAVN NV",101
"BRøRUP, DANMARK",575
"KøBENHAVN Ø,",101
"KØBENHAVN V (POSTB",101
"KøBENHAVN V (POSTBOKS)",101
"FåBORG",430
"ÅBENRå",580
"SKOVLUNDE",151
"REDERIET A.P. MØLL",101
"ESBEJERG",561
"CARSLBERG/DE FOREN",101
"CARSLBERG/DE FOREN. BRYGGERIER",101
"SVINNINGE, DANMARK",316
"SKJERN DK",760
"VANLøSE",101
"BLOKHUS",849
"RUNGSTED KYST",223
"ØRSTED DK",707
"ANHOLT",707
"LøSNING DK",766
"SKæLSKøR,",330
"VEJERS STRAND",573
"VANLØSE",101
"ÅS NO",101
"REDSTED MORS",773
"VILDBJERG DK",657
"NIVå",210
"BRØNDBY STRAND",153
"JELLINGE",630
"JELLING DK",630
"NIVÅ",210
"11 , HOLLAND",NA
"AARHUS N",751
"STORKUNDE, KØBENHA",101
"NUUK",NA
"LLAND,                            NL",NA
"94 MEDELBY, TYSKLAND",NA
"24  RODENAES, TYSKLAND",NA
"41 HAMBURG, TYSKLAND",NA
"95 HAMBURG, TYSKLAND",NA
"2 5X2  BRIGHTON, ENGLAND",NA
"27  NEUKIRCHEN, TYSKLAND",NA
"OSLO NO",NA
"STOCKHOLM SE",NA
"0 VENNESLA, NORGE",NA
"PARIS CEDEX 16 FR",NA
"PARIS CEDEX 16, FR",NA
"UUMMANNAQ",NA
"26  WESTRE, TYSKLAND",NA
"INDAL",NA
"BALLING",NA
"02 BERGEN, TYSKLAND",NA
"11 8011 ZWOLLE, HOLLAND",NA
"00 , FRANKRIG",NA
"82 PARIS CEDEX 16",NA
"24 RODENAES, TYSKLAND",NA
"ANKRIG",NA
"NKRIG",NA
"79 HAMBURG, TYSKLAND",NA
"SISIMIUT",NA
"SISIMUT",NA
"OLLAND",NA
"LAND",NA
"61 , HOLLAND",NA
"LLAND",NA
"23 BRADERUP, TYSKLAND",NA
"QAQORTOQ",NA
"RANDERS SØ",NA
"24  EMMELSBUELL, TYSKLAND",NA
"94  JARDELUND, TYSKLAND",NA
"00 AJ ZWOLLE, HOLLAND",NA
"KONGSLEV",0
"FAXE",320
"MåLøV",151
"SLOCHTEREN",0
"FAXE LADEPLADS",320
"RUUKKI",0
"PARIS",0
"GULMSBüLL",0
"AVENTOFT",0
"JARDELUND",0
"WAGENINGEN",0
"RODENAES",0
"MALMø",0
"VäSTRA TORUP",0
"WESTRE",0
"OSTRODA",0
"RHAUDERFEHN",0
"RODENäS",0
"KAMPERVEEN",0
"COLOMBO",0
"BRASTAD",0
"NUUSSUAQ",0
"NEUKIRCHEN",0
"HOBøL",NA
"BERLIN",0
"DUBAI",0
"NøRRE-SNEDE",756
"HåRBY",420
"ÅLESTRUP",820
"PROV DE GRANADA",0
"VIG ST",306
"ØSTER-VRå",813
"ARROYO",0
"BYRUM",825
"NøRRE-ALSLEV",376
"HøJBY SJæLLAND",306
"SøNDER-OMME",530
"ØSTER-ULSLEV",376
"NøRRE-NEBEL",0
"STRANDBY VENDS.",813
"SUDER LUGUM",0
"NY-SOLBJERG",0
"STORE-HEDDINGE",336
"ÅRS",820
"SøBY æRø",492
"ASå",810
"ÅRUP",420
"KIRKE-HYLLINGE",350
"ÅLBORG SV",851
"RøDDING (SDR.JYLL.)",0
"BYLDERUP - BOV",580
"SøNDER-FELDING",657
"NYKøBING FL",376
"KIRKE-ESKILSTRUP",316
"HAVNEBY",550
"ØSTER-MARIE",400
"STORE-MERLøSE",0
"GæRUM",813
"SNEDSTEN",787
"SDR. OMME",530
"ØSTER-ASSELS",773
"TRIEGE",751
"NøRRE-ÅBY",410
"KIRKE-SåBY",350
"MøBORG",665
"HORNE FYN",0
"VESTER-SKERNINGE",479
"VESTER SKERNING",479
"VENNESIA",0
"BALLE På DJURSLAND",706
"RY (JYLLAND)",740
"THORSø1",791
"KONGENS LYNGBY",173
"BORUP På SJæLLAND",0
"ÅKIRKEBY",400
"NøRE-SNEDE",756
"NøRBæK",730
"ASø",0
"ÅRHUS",751
"NR. SNEDE",756
"LANGø",710
"ÅLBORG",851
"KæRBøLLING",550
"ESPERGæDE",217
"NY SOLBJERG",0
"HVIDBJERG",0
"V NEBEL",621
"VEJLE Ø",630
"LøGSTø",820
"HARBOø",665
"MJALLERUP",820
"SKæBæK",0
"KNOLDGåRD",851
"UDBY",390
"BAGSVæD",159
"LEM ST.",760
"HåRUP",740
"JYSTRUP MIDTSJæLLAND",329
"HINGELBJERG",849
"VINKEL",779
"NEUCHATEL",0
"BYLDERUP BOV",0
"NøRRE ÅBY",410
"BRAMMINGE",561
"THORSHAVN",0
"NANKAI DIST., TIANJUN",0
"WIESEJTTAL",0
"SøRSKOG BYGDA",0
"EGENSVANG",740
"JENGUM",0
"OSLO",0
"NøRE NEBEL",573
"TEXAS",0
"MILLBANK",0
"VäDDö",0
"NS DE VALOM",0
"BEEK",0
"MC NEEDE",0
"NøRE ASMINDRUP",306
"BR?STRUP",615
"TORREVIEJA",0
"HEJNSVING",530
"KIRKE ESKILDSTRUP",316
"HEREFOSS",0
"WEILDE",0
"H M BEDUM",0
"CITTA DI CASTELLO P6",0
"VC NIEUUL WEEKDINGE",0
"LEUTERSHAUSEN",0
"LåNGARYD",0
"HAMBURG",0
"MALUNG",0
"TøRING",0
"GøLEV",326
"SKøPING",840
"BRøNDBY STRAND",0
"S?Y",0
"SMøUM",240
"SP?TRUP",779
"BRøUP",575
"NøRE SNEDE",756
"FEJå",360
"RøVIG",306
"HøVE",306
"SKæLSKø",330
"LUXEMBOURG",0
"THORSå",710
"FANå",563
"DRAGø",0
"TIDAHOLM",0
"GøLøSE",219
"RANDERS NØ",730
"RANDERS NV",730
"BREDSTED",NA
"661 4 HOUSTON",NA
"VILLESTOFTE",461
"RANDERS SV",730
"RANDERS C",730
"GLüCKSBURG",NA
"TYSKLAND",NA
"HøJRUP",510
"EGHOLM",740
"BENALMADENA P.",NA
"TUNE",253
"SVERIGE",NA
"US-14618 NEW YORK",NA
"NG DOKKUM",NA
"VIG ST.",306
"VALLAURIS   FRANKRIG",NA
"BURUNDI",NA
"NYKøBING",773
"TøNNING",615
"GULMSBULL",NA
"RUDS-VEDBY",326
"SURREY KT2 7QY  UNITED KINGDOM",NA
"SURREY. GB",NA
"OPPELSTRUP",851
"SVOLDRUP",820
"ALLINGSBRO",707
"ÅLBORG SØ",851
"ØRSLEV",430
"BYSTRUP",820
"ESBJERG V.",561
"ØLBæK",813
"BRøDSTRUP",615
"LORGUES  FRANCE",NA
"GøRLEV SJæLLAND",326
"SKæRBµK",550
"HARBOøR",665
"STYDING",510
"HåRSLEV",480
"NANKAI DIST.TITANJUN",NA
"RANDERS Nø",730
"LINCOLNSHIRE",NA
"KöRDORF",NA
"KLANXBULL",NA
"SPRINGDALE",NA
"BJ DIEVER",NA
"SøBY",492
"SVENBORG",479
"SDR. STENDERUP",621
"SUZHOU",NA
"SEESTER",NA
"DANMARK",161
"BORUP SJ",259
"ÆRøSKøBING.",492
"RANDERS S V",730
"ZEELAND",NA
"HEILIGENHAFEN",NA
"BRUSSEL",NA
"ZUG",NA
"BREDLUND",740
"UPPSALA",NA
"AERSLEV",430
"ROENDE",706
"AEBYBRO",849
"HOLBAEK",316
"NN",101
"SPOETTRUP",779
"ROEDEKRO",580
"HURUP",787
"SAEBY",813
"BAGSVAERD",159
"KIBAEK",657
"D 25899 GALMSBüLL",NA
"FAERVANG",740
"VIBY SJAELLAND",259
"SOENDER-OMME",530
"HVALSOE",350
"HILLEROED",219
"NOERRE NEBEL",573
"BAEKKE",575
"HAERUP",740
"KOEBENHAVN S",101
"ROENNE",400
"BORUP SJ.",259
"GRENAE",707
"RANDERS SOE",730
"OERSTED",707
"LANGAE",710
"TRANEKAER",482
"VRAE",860
"KGS. LYNGBY",173
"LOEGSTOER",820
"NOERRE SNEDE",756
"BAEKMARKSBRO",665
"SOLROED STRAND",269
"BRAEDSTRUP",615
"BROENDERSLEV",810
"SVEBOELLE",326
"RANDERS NOE",730
"KOEBENHAVN OE",101
"TORUP",NA
"LA CALA DE MIJAS",NA
"AARHUS V",751
"HOLMEGåRD",370
"VALLENSBæK",187
"RANDERS Sø",730
"SURREY",NA
"VESTERMARIE",400
"TIRSTRUP",706
"V AABY",430
"SOENDERBORG",540
"HJOERRING",860
"MOEBORG",665
"ROEDDING (SDR.JYLL.)",575
"OELGOD",573
"UGERLOESE",316
"JAEGERSPRIS",250
"SIELHOFD-25927 BEUKIRCHEN",NA
"STOEVRING",840
"OKSBOEL",573
"SKAERBAEK",550
"R°NNEDE",320
"HUANGSHAN LUDBEILUN DIS. NINGBO, ZHEJIANG PR.",NA
"NOERRESUNDBY",851
"HOEJSLEV",779
"ESBJERG OE",561
"S�NDER FELDING",657
"ROENNEDE",320
"KIRKE SAEBY",350
"KOEBENHAVN N",101
"BALLE PAE DJURSLAND",706
"TOELLOESE",316
"KRUSAE",580
"AERRE",573
"VIDEBAEK",760
"AEROESKOEBING",492
"FREDRIKSHAVN",813
"ALLINGAEBRO",707
"SKOERPING",840
"N°RRE ALSLEV",376
"NOERRE-SNEDE",756
"KOEBENHAVN V",101
"AGERBAEK",573
"FROERUP",450
"AEBENRAE",580
"THORSOE",791
"VEJLE OE",630
"NOERAGER",840
"SOENDER FELDING",657
"HJ�RRING",860
"NOERRE-NEBEL",573
"ASAE",810
"BROERUP",575
"SOELLESTED",360
"FAEBORG",430
"H°JSLEV",779
"OERUM DJURS",707
"AALBORG SOE",851
"MOELDRUP",791
"ROEDVIG STEVNS",336
"MAERSLET",751
"STUBBEKOEBING",376
"SOERVAD",657
"AELEGAERDSMARK",849
"TAPPERN°JE",370
"BOERKOP",630
"TOERRING",766
"NAESTVED",370
"RUDKOEBING",482
"V. AEBY FAEBORG",430
"OELSTYKKE",240
"TJAEREBORG",561
"VIDEBµK",760
"FAEREVEJLE ST.",306
"SKAEVINGE",219
"SAKSKOEBING",376
"OERNHOEJ",657
